Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2018,4,Santiago Del Estero,1.093,"4.406,00"
2018,4,Tierra Del Fuego,2.770,"9.344,00"
2018,4,Tucumán,754,"3.044,00"
2018,3,Buenos Aires,1.566,"4.816,00"
2018,3,Capital Federal,2.462,"5.884,00"
2018,3,Catamarca,2.035,"8.000,00"
2018,3,Chaco,839,"3.138,00"
2018,3,Chubut,1.497,"4.885,00"
2018,3,Córdoba,2.919,"9.533,00"
2018,3,Corrientes,918,"3.485,00"
2018,3,Entre Ríos,1.519,"5.081,00"
2018,3,Formosa,1.005,"3.948,00"
2018,3,Jujuy,1.215,"4.751,00"
2018,3,La Pampa,2.359,"7.161,00"
2018,3,La Rioja,625,"2.349,00"
2018,3,Mendoza,602,"2.156,00"
2018,3,Misiones,1.095,"4.022,00"
2018,3,Neuquén,1.240,"4.166,00"
2018,3,Río Negro,1.304,"4.240,00"
2018,3,Salta,1.265,"5.222,00"
2018,3,San Juan,589,"2.310,00"
2018,3,San Luis,1.113,"3.890,00"
2018,3,Santa Cruz,1.626,"5.466,00"
2018,3,Santa Fe,1.809,"5.753,00"
2018,3,Santiago Del Estero,1.134,"4.570,00"
2018,3,Tierra Del Fuego,2.795,"9.426,00"
2018,3,Tucumán,759,"3.064,00"
2018,2,Buenos Aires,1.550,"4.776,00"
2018,2,Capital Federal,2.421,"5.779,00"
2018,2,Catamarca,1.925,"7.566,00"
2018,2,Chaco,920,"3.441,00"
2018,2,Chubut,1.251,"4.080,00"
2018,2,Córdoba,3.028,"9.889,00"
2018,2,Corrientes,912,"3.464,00"
2018,2,Entre Ríos,1.554,"5.197,00"
2018,2,Formosa,875,"3.439,00"
2018,2,Jujuy,1.194,"4.668,00"
2018,2,La Pampa,2.344,"7.115,00"
2018,2,La Rioja,597,"2.244,00"
2018,2,Mendoza,458,"1.640,00"
2018,2,Misiones,1.095,"4.022,00"
2018,2,Neuquén,1.219,"4.096,00"
2018,2,Río Negro,1.205,"3.917,00"
2018,2,Salta,1.219,"5.031,00"
2018,2,San Juan,627,"2.463,00"
2018,2,San Luis,1.156,"4.040,00"
2018,2,Santa Cruz,1.538,"5.168,00"
2018,2,Santa Fe,1.769,"5.625,00"
2018,2,Santiago Del Estero,1.007,"4.056,00"
2018,2,Tierra Del Fuego,2.497,"8.420,00"
2018,2,Tucumán,720,"2.907,00"
2018,1,Buenos Aires,1.549,"4.783,00"
2018,1,Capital Federal,2.418,"5.764,00"
2018,1,Catamarca,2.187,"8.599,00"
2018,1,Chaco,933,"3.490,00"
2018,1,Chubut,1.224,"3.993,00"
2018,1,Córdoba,3.009,"9.826,00"
2018,1,Corrientes,964,"3.662,00"
2018,1,Entre Ríos,1.551,"5.187,00"
2018,1,Formosa,885,"3.477,00"
2018,1,Jujuy,1.181,"4.616,00"
2018,1,La Pampa,2.386,"7.241,00"
2018,1,La Rioja,623,"2.339,00"
2018,1,Mendoza,455,"1.630,00"
2018,1,Misiones,1.094,"4.015,00"
2018,1,Neuquén,1.197,"4.020,00"
2018,1,Río Negro,1.241,"4.036,00"
2018,1,Salta,1.269,"5.240,00"
2018,1,San Juan,492,"1.930,00"
2018,1,San Luis,1.256,"4.387,00"
2018,1,Santa Cruz,1.543,"5.184,00"
2018,1,Santa Fe,1.796,"5.710,00"
2018,1,Santiago Del Estero,1.009,"4.067,00"
2018,1,Tierra Del Fuego,2.464,"8.312,00"
2018,1,Tucumán,714,"2.881,00"
2017,4,Buenos Aires,1.554,"4.810,00"
2017,4,Capital Federal,2.415,"5.750,00"
2017,4,Catamarca,724,"2.846,00"
2017,4,Chaco,864,"3.234,00"
2017,4,Chubut,1.200,"3.913,00"
2017,4,Córdoba,2.842,"9.284,00"
2017,4,Corrientes,966,"3.670,00"
2017,4,Entre Ríos,1.549,"5.181,00"
2017,4,Formosa,829,"3.257,00"
2017,4,Jujuy,1.162,"4.543,00"
2017,4,La Pampa,2.398,"7.278,00"
2017,4,La Rioja,624,"2.342,00"
2017,4,Mendoza,588,"2.108,00"
2017,4,Misiones,1.090,"4.001,00"
2017,4,Neuquén,1.203,"4.041,00"
2017,4,Río Negro,1.257,"4.087,00"
2017,4,Salta,1.281,"5.287,00"
2017,4,San Juan,520,"2.041,00"
2017,4,San Luis,1.274,"4.452,00"
2017,4,Santa Cruz,1.467,"4.929,00"
2017,4,Santa Fe,1.815,"5.772,00"
2017,4,Santiago del Estero,1.011,"4.076,00"
2017,4,Tierra del Fuego,2.467,"8.320,00"
2017,4,Tucumán,715,"2.885,00"
2017,3,Buenos Aires,1.511,"4.679,00"
2017,3,Capital Federal,2.310,"5.492,00"
2017,3,Catamarca,1.008,"3.957,00"
2017,3,Chaco,773,"2.887,00"
2017,3,Chubut,1.193,"3.881,00"
2017,3,Córdoba,2.810,"9.161,00"
2017,3,Corrientes,859,"3.258,00"
2017,3,Entre Ríos,1.227,"4.098,00"
2017,3,Formosa,837,"3.284,00"
2017,3,Jujuy,1.136,"4.434,00"
